customerID|productID|productValidFrom|productValidThru|installationDate|customerName|salesmanID|officePhone|officeFax|corporateEmail1|corporateEmail2|npwp
NS0000648|||||CV. Banjar Putera Mandiri|003|0511-266288||nirwanto.adistana@gmail.com|fervorous@gmail.com|02.575.890.5-731.000
NS0000648|NDNEW|2015-02-01|2016-01-31|2015-02-01|CV. Banjar Putera Mandiri|003|0511-266288||nirwanto.adistana@gmail.com|fervorous@gmail.com|02.575.890.5-731.000
NS0010000625|NDC1|2018-01-01|2018-12-31|2014-11-27|PT. Sentral Multimitra Gemilang|001|061-8440290|082166558568|santi@smgfoods.co.id||31.639.831.2-125.001
NS0010000630|ND6007|2018-04-24|2018-05-26|2018-04-24|PT. Sentral Multimitra Gemilang - dupl NS001000625|001|||santi_smg@yahoo.com||
NS0010000630|ND6010|2018-04-25|2018-06-21|2018-04-25|PT. Sentral Multimitra Gemilang - dupl NS001000625|001|||santi_smg@yahoo.com||
NS0010000630|ND6173|2018-04-24|2018-06-22|2018-04-25|PT. Sentral Multimitra Gemilang - dupl NS001000625|001|||santi_smg@yahoo.com||
NS0010000635|NDNEW|2017-01-01|2017-12-31||PT. Cahaya Agung Cemerlang - Semarang|001|024 3585668|marda_liem@yahoo.com|cac.nestle@gmail.com||02.402.394.7-511.000
NS0010000916|NDC2|2017-12-01|2018-11-30||PT. Cahaya Agung Cemerlang - Salatiga|001|0298323847|xxxx|cac.nestle@gmail.com||02.402.394.7-511.000
NS0010000955|NDNEW|2017-02-01|2018-01-31|2016-02-01|CV. Puja Mandiri|005|0768 21288|082285586935|pujamandiri16@gmail.com|persada_pj@yahoo.co.id|76.375.632.7-213.000
NS0011010000344|NDNEW|2019-03-01|2019-12-31|2014-03-01|UD. PRIMA JAYA MANDIRI|001|||mbo_pjm@yahoo.com|pjm.chandra@yahoo.co.id|02.172.060.2-103.000
NS0011010000345|NDNEW|2017-03-01|2018-02-28|2016-03-01|CV. RAHMAT SEJATI|001|0853-54704779||rahmatsejatiabdya@gmail.com|cv.rahmatsejati1015@gmail.com|01.805.627.5-106.000
NS0011010000698|SEPAKAT|2018-03-01|2018-12-31||CV. SEPAKAT MAJU|001|0651-636408|0651-29671|ikhwan_usmb@yahoo.co.id||01.763.949.3-101.000
NS0011010000950|NDNEW|2015-01-01|2015-12-31|2015-01-01|PT. Delapan Bintang Bersama Pratama|001|xxxx|xxxx|||
NS0011020000087|KB|2017-11-01|2018-10-31|2014-04-01|PT. Bintang Mutiara Cemerlang-Medan|001|0617-347538||johnny_anggara@yahoo.co.id|pt_bmc138@yahoo.co.id|02.501.844.1-113.000
