id|customerid|branchid|parent_customer_id|customer_id|site_id|installation_number|productid|productvalidfrom|productvalidthru|installationdate|installation_status|client_mapping_id|company_profile_id|company_parent_id
150|NS0011080001417|1513156101465|||||ND6250|1/1/2018|12/31/2018|12/18/2017|A|||
329|NS0013010000972|1457372189634|||||ND6CU|4/1/2017|3/31/2018|3/1/2017|A|||
5768|NS0013020000511|1454305940870||33|||ND6150|4/13/2023|1/31/2024|2/1/2016|A|||
7402|NS0013020000511|1454305940870||33|||NM1011|12/1/2022|11/30/2023|12/1/2021|A|||
5583|NS0013030000976|1588764221700||501|||NM1011|1/18/2021|1/17/2022|1/18/2021|A|||
4277|NS0013030000976|1588764221700||501|||ND6150|3/1/2023|2/28/2024|3/1/2016|A|||
6786|NS0013030000981|1470656304150||104|||NM1011|3/2/2021|3/2/2022|3/2/2021|A|||
5204|NS0043030001165|1481262962223||454|||ND6150|11/5/2022|11/4/2023|11/5/2022|A|||
5442|NS0043030001447|1515751615246|90|91|||ND6250|12/6/2021|12/5/2022|1/15/2018|A|||
3556|NS0043030001447|1515751615246|90|91|||NM1011|2/1/2021|2/5/2022|1/15/2019|A|||
1326|NS0043060001159|1482461391330||561|||ND6MIGRASI|1/1/2023|12/31/2023|1/1/2023|A|||
3824|NS0043060001159|1509616235850||561|||NM1011|2/28/2023|2/28/2024|2/25/2020|A|||
3142|NS0043060001159|1509616235850||561|||ND6321|11/6/2022|11/5/2023|11/6/2017|A|||
4602|NS0043060001159|1509616235850||561|||NM1011|6/19/2021|6/18/2022|6/19/2020|A|||
3897|NS0043060001159|1509616235850||561|||NM1011|3/10/2023|3/9/2024|3/10/2020|A|||
3824|NS0043060001159|1509616235850||561|||NM1011|2/28/2023|2/28/2024|2/25/2020|A|||
4242|NS0043060001159|1509616235850||561|||NT1010|11/6/2022|11/5/2023|2/28/2019|A|||
5027|NS0043060001159|1509616235850||561|||NM1011|2/28/2023|2/28/2024|2/28/2019|A|||
5027|NS0043060001159|1509616235850||561|||NM1011|2/28/2023|2/28/2024|2/28/2019|A|||
6454|NS0043060001160|1481260536270||653|||ND6150|1/1/2023|12/31/2023|1/1/2023|A|||
4941|NS0043060001161|1533626265089||678|||NM1011|8/20/2022|8/19/2023|8/13/2018|A|||
3920|NS0043060001161|1533626265089||678|||NM1011|3/6/2022|3/5/2023|3/6/2020|A|||
